cycle,avg_attention,avg_performance,is_break,high_attention_count
199,0.7563999999999999,0.9456,false,20
200,0.7127999999999999,0.946,false,20
201,0.6699999999999997,0.946,false,10
202,0.6263999999999997,0.946,false,10
203,0.5803999999999998,0.946,false,6
204,0.5351999999999997,0.946,false,6
205,0.4859999999999998,0.946,false,0
206,0.43639999999999957,0.946,false,0
207,0.3883999999999997,0.946,false,0
208,0.3419999999999997,0.946,false,0
209,0.2963999999999998,0.946,false,0
210,0.2511999999999997,0.946,true,0
211,0.2963999999999998,0.946,true,0
212,0.34319999999999967,0.946,true,0
213,0.3899999999999998,0.946,true,0
214,0.4367999999999996,0.946,true,0
215,0.4835999999999998,0.946,true,0
216,0.5319999999999997,0.946,true,5
217,0.5819999999999999,0.946,true,7
218,0.6343999999999997,0.9464,true,8
219,0.6875999999999998,0.9468000000000001,true,8
220,0.7391999999999999,0.9472,true,17
221,0.7867999999999999,0.9476,true,17
222,0.8284,0.948,true,19
223,0.8644,0.9484,true,20
224,0.8995999999999998,0.9488,true,24
225,0.9347999999999999,0.9496000000000001,false,24
226,0.8927999999999998,0.9500000000000002,false,24
227,0.8483999999999997,0.9504,false,20
228,0.8048000000000001,0.9504,false,19
229,0.7620000000000001,0.9504,false,19
230,0.7199999999999999,0.9504,false,19
231,0.6779999999999997,0.9504,false,9
232,0.6327999999999999,0.9504,false,9
233,0.5859999999999999,0.9504,false,5
234,0.5383999999999997,0.9504,false,4
235,0.4875999999999998,0.9504,false,0
236,0.4351999999999997,0.9504,false,0
237,0.3819999999999997,0.9504,false,0
238,0.32959999999999967,0.9504,false,0
239,0.2787999999999997,0.9504,false,0
240,0.22959999999999972,0.9504,true,0
241,0.27159999999999973,0.9504,true,0
242,0.31359999999999966,0.9504,true,0
243,0.35719999999999963,0.9504,true,0
244,0.40079999999999955,0.9504,true,0
245,0.4467999999999998,0.9504,true,0
246,0.4959999999999996,0.9504,true,4
247,0.5467999999999997,0.9504,true,4
248,0.6007999999999999,0.9504,true,6
249,0.6547999999999996,0.9504,true,7
250,0.7079999999999997,0.9504,true,16
251,0.7548,0.9504,true,17
252,0.7996,0.9504,true,18
253,0.8396000000000001,0.9504,true,19
254,0.8783999999999998,0.9504,true,21
255,0.9115999999999999,0.9508,false,22
256,0.8671999999999999,0.9508,false,21
257,0.8244,0.9508,false,20
258,0.7791999999999998,0.9508,false,19
259,0.7340000000000001,0.9508,false,17
260,0.6887999999999999,0.9508,false,16
261,0.6435999999999997,0.9508,false,8
262,0.5983999999999998,0.9508,false,6
263,0.5523999999999998,0.9508,false,5
264,0.5039999999999997,0.9508,false,5
